N,NMaxBet,NRcall,NRfold,NRraise,N_effective,Nallin,Ncall,Nfold,Nnf,Nraise,Nsim,action,aggresiveness,amount,bet,bet_sum,blind_level,board,board_aces,board_conn,board_conn_rank,board_faces,board_kind,board_kind_rank,board_rank1,board_rank2,board_suit,board_suit_rank,cards_aces,cards_category,cards_conn,cards_conn2,cards_faces,cards_pair,cards_rank1,cards_rank2,cards_rank_sum,cards_suit,chips,cost_to_call,cputime,first,forced_bet,game_N,game_id,game_phase,hand_score0,hand_score1,hand_score2,hole,logic,maxBet,minBet,op_chips_max,op_chips_min,op_resp,play,position,position_feature,pot,pot_sum,prWin,prWinStd,prWin_adj,prWin_delta,prev_action,prev_prWin,resp,roundName,round_id,self_Ncall,self_Nraise,smallBlind,tableNumber,thd_call,tight,tightness
5,4,3,1,0,5,0,3,1,4,0,60000.0,check,0.75,0,80,320,3,,,,,,,,,,,,0,9,0,0,0,0,6,2,8,1,5223,0,0.2079908847808838,False,80,6,20180802170516727,Early,0,6,2,6H 2H,michael4,80,0,4264,1314,any_called,trash,BB,B,0,0,0.16608968253966344,0.3721611208784943,0.09389042508923544,0,none,,"[0, 1, 0, 0]",Deal,14,0,0,40,21,-0.25,True,0.1940000000000003
5,1,0,0,1,4,0,0,0,4,1,346,check,0.75,0,0,80,3,AD TH QH,1,0,0,3,1,14,14,10,2,12,0,9,0,0,0,0,6,2,8,1,5223,80,0.255141019821167,False,0,6,20180802170516727,Early,0,14,12,6H 2H,michael4,80,80,4264,1314,any_raised,ml_fold,BB,B,80,320,0.3157514450867052,0.44394336013345476,0.6355437845283058,0.14966176254704178,none,0.16608968253966344,"[0, 1, 0, 0]",Flop,14,0,0,40,21,0.16666666666666666,True,-0.6880000000000004
5,1,0,0,1,4,0,0,0,4,1,322,check,0.75,0,0,80,3,AD TH QH TS,1,0,0,4,2,10,14,10,2,12,0,9,0,0,0,0,6,2,8,1,5143,80,0.27033114433288574,False,0,6,20180802170516727,Early,1,10,14,6H 2H,michael4,80,80,4184,1234,any_raised,ml_call,BB,B,160,640,0.25854037267080743,0.43315258444747357,0.5718675240448281,-0.05721107241589779,none,0.3157514450867052,"[0, 1, 0, 0]",Turn,14,0,0,40,21,0.1,True,-0.7156325580668583
5,3,2,0,2,4,0,3,0,4,2,654,fold,0.75,0,80,560,3,AD TH QH TS,1,0,0,4,2,10,14,10,2,12,0,9,0,0,0,0,6,2,8,1,5063,80,0.258465051651001,False,0,6,20180802170516727,Early,1,10,14,6H 2H,michael4,160,80,4024,1074,any_raised,ml_fold,BB,B,160,640,0.2098623853211009,0.4004658747534135,0.5012752778518837,-0.10588905976560431,check/call,0.3157514450867052,"[1, 0, 0, 0]",Turn,14,1,0,40,21,0.0625,True,-0.7156325580668583
4,3,2,0,0,4,0,2,0,4,0,60000.0,check,0.75,0,40,280,3,,,,,,,,,,,,0,9,0,0,0,0,8,4,12,1,5023,40,0.21214795112609863,False,40,6,20180802170516727,Late,0,8,4,4S 8S,michael4,80,40,5202,2440,any_called,trash,SB,B,0,0,0.23065694444441065,0.4212532711136837,0.10175344348362331,0,none,,"[0, 1, 0, 0]",Deal,15,0,0,40,21,0.0,False,0.3060000000000003
4,0,0,0,0,4,0,0,0,4,0,92,check,0.75,0,0,0,3,KC 6H 5H,0,2,6,1,1,13,13,5,2,6,0,9,0,0,0,0,8,4,12,1,4983,0,0.24040508270263672,True,0,6,20180802170516727,Late,0,13,8,4S 8S,michael4,0,80,5202,2440,none,ml_fold,SB,B,80,320,0.03260869565217391,0.17761015911269776,0.1551597054399354,-0.19804824879223673,none,0.23065694444441065,"[0, 1, 0, 0]",Flop,15,0,0,40,21,0.0,False,-0.6900000000000004
4,0,0,0,0,4,0,0,0,3,0,81,check,0.75,0,0,0,3,KC 6H 5H 8D,0,2,6,1,1,13,13,5,2,6,0,9,0,0,0,0,8,4,12,1,4983,0,0.2562880516052246,True,0,6,20180802170516727,Late,1,8,13,4S 8S,michael4,0,80,5055,2440,none,ml_call,SB,B,80,320,0.3333333333333333,0.45133546692422,0.6713680432170082,0.3007246376811594,none,0.03260869565217391,"[0, 1, 0, 0]",Turn,15,0,0,40,21,0.0,False,-0.7170799069055211
4,0,0,0,0,4,0,0,0,3,0,111,check,0.75,0,0,0,3,KC 6H 5H 8D 2D,0,2,6,1,1,13,13,2,2,8,0,9,0,0,0,0,8,4,12,1,4983,0,0.2655329704284668,True,0,6,20180802170516727,Late,1,8,13,4S 8S,michael4,0,80,5055,2440,none,ml_call,SB,B,80,320,0.40540540540540543,0.4909703276914851,0.7818813393672321,0.07207207207207211,none,0.3333333333333333,"[0, 1, 0, 0]",River,15,0,0,40,21,0.0,False,-0.7667997692080402
4,2,1,0,1,4,0,2,0,3,1,464,fold,0.75,0,0,800,3,KC 6H 5H 8D 2D,0,2,6,1,1,13,13,2,2,8,0,9,0,0,0,0,8,4,12,1,4983,400,0.2672886848449707,False,0,6,20180802170516727,Late,1,8,13,4S 8S,michael4,400,400,4655,2040,any_raised,ml_fold,SB,B,80,320,0.3448275862068966,0.47189910296262727,0.7092967379950054,0.01149425287356326,check/call,0.3333333333333333,"[1, 0, 0, 0]",River,15,1,0,40,21,0.2631578947368421,False,-0.7667997692080402
4,1,0,1,0,4,0,0,1,3,0,60000.0,bet,0.75,1155,0,240,4,,,,,,,,,,,,0,7,1,0,1,0,12,11,23,0,4983,160,0.20972800254821777,False,0,6,20180802170516727,Late,0,12,11,QS JH,michael4,160,160,4575,3000,all_folded,ml_raise,D,L,0,0,0.33677797619043304,0.4726082637274862,0.19121463096236713,0,none,,"[0, 0, 1, 1155]",Deal,16,0,0,80,21,0.4,False,0.30800000000000033
