round_id,playerName,chips,reloadCount,cards,hand,position,act_deal,bet_deal,act_flop,bet_flop,act_turn,bet_turn,act_river,bet_river,allIn,folded,rank,message,winMoney
17,ヽ(=^･ω･^=)丿,1512,2,♦9 ♣J,♦9 ♣J ♠5 ♣4 ♣6 ♣10 ♥6,,call,160.0,fold,0.0,fold,0.0,fold,0,False,True,13.0448,Pair,0.0
17,Chicken Dinner,138,2,♦7 ♠8,♦7 ♠8 ♠5 ♣4 ♣6 ♣10 ♥6,,fold,0.0,fold,0.0,fold,0.0,fold,0,False,True,116.0,Straight,0.0
17,PCB,2814,1,♣K ♠K,♣K ♠K ♠5 ♣4 ♣6 ♣10 ♥6,,call,160.0,call,500.0,call,500.0,call,500,False,False,81.0128,Two Pair,3640.0
17,A_P_T^T,840,0,♦J ♥Q,♦J ♥Q ♠5 ♣4 ♣6 ♣10 ♥6,SB,call,160.0,fold,0.0,fold,0.0,fold,0,False,True,13.0896,Pair,0.0
18,(=^-Ω-^=),5036,2,♣10 ♣K,♣10 ♣K ♣Q ♠6 ♠7 ♣4 ♦3,SB,call,160.0,bet,500.0,,,bet,500,False,False,7.0664,High Card,480.0
18,ヽ(=^･ω･^=)丿,1352,2,♣7 ♣J,♣7 ♣J ♣Q ♠6 ♠7 ♣4 ♦3,BB,call,160.0,fold,0.0,,,fold,0,False,True,14.0776,Pair,0.0
18,Chicken Dinner,138,2,♣2 ♥J,♣2 ♥J ♣Q ♠6 ♠7 ♣4 ♦3,,fold,0.0,fold,0.0,,,fold,0,False,True,6.0282,High Card,0.0
18,PCB,4794,1,♦8 ♠A,♦8 ♠A ♣Q ♠6 ♠7 ♣4 ♦3,,fold,0.0,fold,0.0,,,fold,0,False,True,8.0568,High Card,0.0
18,A_P_T^T,680,0,♠Q ♥Q,♠Q ♥Q ♣Q ♠6 ♠7 ♣4 ♦3,,call,160.0,call,500.0,,,allin,20,True,False,110.0024,Three of a Kind,1520.0
19,(=^-Ω-^=),4356,2,♠A ♥Q,♠A ♥Q ♠7 ♦K ♦9 ♣J ♣5,,fold,0.0,,,,,fold,0,False,True,8.1856,High Card,0.0
19,ヽ(=^･ω･^=)丿,1192,2,♦7 ♠8,♦7 ♠8 ♠7 ♦K ♦9 ♣J ♣5,SB,call,138.0,,,,,fold,0,False,True,14.1344,Pair,0.0
19,Chicken Dinner,138,2,♦8 ♠2,♦8 ♠2 ♠7 ♦K ♦9 ♣J ♣5,BB,,138.0,,,,,,0,True,False,7.0368,High Card,0.0
19,PCB,4794,1,♣2 ♣7,♣2 ♣7 ♠7 ♦K ♦9 ♣J ♣5,,call,138.0,,,,,call,0,False,False,14.1344,Pair,414.0
19,A_P_T^T,1520,0,♦2 ♠J,♦2 ♠J ♠7 ♦K ♦9 ♣J ♣5,,fold,0.0,,,,,fold,0,False,True,18.1104,Pair,0.0
20,(=^-Ω-^=),4356,2,♥4 ♥6,♥4 ♥6 ♥J ♥K ♣7 ♠A ♣Q,,,,,,,,fold,0,False,True,8.1808,High Card,0.0
20,ヽ(=^･ω･^=)丿,1054,2,♣3 ♦2,♣3 ♦2 ♥J ♥K ♣7 ♠A ♣Q,,,,,,,,fold,0,False,True,8.1808,High Card,0.0
20,Chicken Dinner,0,2,,,,,,,,,,,0,False,False,,,0.0
20,PCB,5070,1,♣5 ♦J,♣5 ♦J ♥J ♥K ♣7 ♠A ♣Q,SB,,,,,,,fold,160,False,True,18.3584,Pair,0.0
20,A_P_T^T,1520,0,♠J ♣10,♠J ♣10 ♥J ♥K ♣7 ♠A ♣Q,BB,,,,,,,call,320,False,False,122.0,Straight,480.0
21,(=^-Ω-^=),4356,2,♦Q ♣10,♦Q ♣10 ♣3 ♥4 ♣2 ♣J ♦10,BB,,,,,,,allin,4356,True,False,17.077,Pair,5730.0
21,ヽ(=^･ω･^=)丿,1054,2,♥9 ♠9,♥9 ♠9 ♣3 ♥4 ♣2 ♣J ♦10,,,,,,,,allin,1054,True,False,16.0386,Pair,0.0
21,Chicken Dinner,0,2,,,,,,,,,,,0,False,False,,,0.0
21,PCB,4910,1,♦7 ♥2,♦7 ♥2 ♣3 ♥4 ♣2 ♣J ♦10,,,,,,,,fold,0,False,True,9.04,Pair,0.0
21,A_P_T^T,1680,0,♠8 ♣K,♠8 ♣K ♣3 ♥4 ♣2 ♣J ♦10,SB,,,,,,,fold,320,False,True,7.0418,High Card,0.0
22,(=^-Ω-^=),5730,2,♠6 ♣Q,♠6 ♣Q ♠10 ♠3 ♣J ♠5 ♦J,SB,,,,,,,fold,160,False,True,18.0648,Pair,0.0
22,ヽ(=^･ω･^=)丿,0,2,,,,,,,,,,,0,False,False,,,0.0
22,Chicken Dinner,0,2,,,,,,,,,,,0,False,False,,,0.0
22,PCB,4910,1,♥9 ♥10,♥9 ♥10 ♠10 ♠3 ♣J ♠5 ♦J,BB,,,,,,,call,320,False,False,66.0064,Two Pair,480.0
22,A_P_T^T,1360,0,♦6 ♦10,♦6 ♦10 ♠10 ♠3 ♣J ♠5 ♦J,,,,,,,,fold,0,False,True,66.0008,Two Pair,0.0
23,(=^-Ω-^=),5570,2,♣7 ♠9,♣7 ♠9 ♦J ♣9 ♥6 ♠Q ♣4,,,,,,,,allin,5570,True,False,16.0784,Pair,500.0
23,ヽ(=^･ω･^=)丿,0,2,,,,,,,,,,,0,False,False,,,0.0
23,Chicken Dinner,0,2,,,,,,,,,,,0,False,False,,,0.0
23,PCB,5070,1,♦10 ♣Q,♦10 ♣Q ♦J ♣9 ♥6 ♠Q ♣4,SB,,,,,,,allin,5070,True,False,19.0448,Pair,10780.0
23,A_P_T^T,1360,0,♣10 ♥7,♣10 ♥7 ♦J ♣9 ♥6 ♠Q ♣4,BB,,,,,,,fold,640,False,True,6.0464,High Card,0.0
24,(=^-Ω-^=),500,2,♠A ♠9,♠A ♠9 ♥K ♠K ♣8 ♥3 ♦8,BB,,500.0,,,,,,0,True,False,83.2048,Two Pair,1500.0
24,ヽ(=^･ω･^=)丿,0,2,,,,,0.0,,,,,,0,False,False,,,0.0
24,Chicken Dinner,0,2,,,,,0.0,,,,,,0,False,False,,,0.0
24,PCB,10780,1,♦7 ♣5,♦7 ♣5 ♥K ♠K ♣8 ♥3 ♦8,,call,500.0,,,,,fold,0,False,True,83.0016,Two Pair,0.0
24,A_P_T^T,720,0,♥10 ♠J,♥10 ♠J ♥K ♠K ♣8 ♥3 ♦8,SB,call,500.0,,,,,check,0,False,False,83.0256,Two Pair,0.0
25,(=^-Ω-^=),1500,2,♦6 ♣2,♦6 ♣2 ♥5 ♣6 ♣5 ♠3 ♦5,SB,,,,,,,fold,320,False,True,163.0,Full House,0.0
25,ヽ(=^･ω･^=)丿,0,2,,,,,,,,,,,0,False,False,,,0.0
25,Chicken Dinner,0,2,,,,,,,,,,,0,False,False,,,0.0
25,PCB,10280,1,♥2 ♣3,♥2 ♣3 ♥5 ♣6 ♣5 ♠3 ♦5,BB,,,,,,,call,640,False,False,161.0,Full House,960.0
25,A_P_T^T,220,0,♦4 ♣10,♦4 ♣10 ♥5 ♣6 ♣5 ♠3 ♦5,,,,,,,,fold,0,False,True,103.0136,Three of a Kind,0.0
26,(=^-Ω-^=),1180,2,♥3 ♠6,♥3 ♠6 ♥10 ♥J ♦3 ♣8 ♦Q,,,,,,,,fold,0,False,True,10.0896,Pair,0.0
26,ヽ(=^･ω･^=)丿,0,2,,,,,,,,,,,0,False,False,,,0.0
26,Chicken Dinner,0,2,,,,,,,,,,,0,False,False,,,0.0
