N,NMaxBet,NRcall,NRfold,NRraise,N_effective,Nallin,Ncall,Nfold,Nnf,Nraise,Nsim,action,aggresiveness,amount,bet,bet_sum,blind_level,board,board_aces,board_conn,board_conn_rank,board_faces,board_kind,board_kind_rank,board_rank1,board_rank2,board_suit,board_suit_rank,cards_aces,cards_category,cards_conn,cards_conn2,cards_faces,cards_pair,cards_rank1,cards_rank2,cards_rank_sum,cards_suit,chips,cost_to_call,cputime,first,forced_bet,game_N,game_id,game_phase,hand_conn,hand_conn_rank,hand_score0,hand_score1,hand_score2,hand_suit,hand_suit_rank,hole,logic,made_hand,maxBet,minBet,op_chips_max,op_chips_mean,op_chips_min,op_resp,play,position,position_feature,pot,pot_sum,prWin,prWinCond,prWinStd,prWin_adj,prWin_delta,prev_action,prev_prWin,resp,roundName,round_id,self_Ncall,self_Nraise,smallBlind,stake,stt_early_preflop,stt_late_preflop_allin,stt_middle_preflop,stt_preflop_pairs,tableNumber,thd_call,tightness
5,2,1,2,0,5,0,1,2,3,0,60000.0,bet,0.75,448,80,400,4,,,,,,,,,,,,0,6,0,0,0,1,3,3,6,0,1624,80,0.39285874366760254,False,80,8,20180810123113157,Late,1,3,1,3,0,1,3,3H 3D,michael6,,160,80,8388,4949.5,1511,any_called,steal,SB,B,0,0,0.19528187830683608,0.809708669159998,0.39641754036847326,0.28883641783379577,0,none,,"[0, 0, 1, 448.0]",Deal,20,0,0,80,8548.0,"('fold', 0)","('allin', 1624)","('fold', 0)","('fold', 0)",77,,-0.23600000000000002
5,0,0,0,0,3,0,0,0,3,0,79,check,0.75,0,0,0,4,KH AC 2C,1,2,14,2,1,14,14,2,2,14,0,6,0,0,0,1,3,3,6,0,1176,0,0.3790011405944824,True,0,8,20180810123113157,Late,1,14,1,3,14,2,14,3H 3D,michael6,marginal,0,160,8020,4581.5,1143,none,call,SB,B,528,1584,0.189873417721519,0.21730695366724778,0.3922008451855612,0.29655204761199166,-0.005408460585317076,none,0.19528187830683608,"[0, 1, 0, 0]",Flop,20,0,0,80,8020.0,,,,,77,0.0,-0.272
5,2,1,0,1,3,0,2,0,3,1,440,check,0.75,0,0,320,4,KH AC 2C,1,2,14,2,1,14,14,2,2,14,0,6,0,0,0,1,3,3,6,0,1176,160,0.500694990158081,False,0,8,20180810123113157,Late,1,14,1,3,14,2,14,3H 3D,michael6,marginal,160,160,7860,4421.5,983,any_raised,call,SB,B,528,1584,0.3125,0.4370735050553162,0.46167001694441295,0.4385753742806263,0.11721812169316392,check/call,0.19528187830683608,"[0, 1, 0, 0]",Flop,20,1,0,80,8020.0,,,,,77,0.07751937984496124,-0.272
5,0,0,0,0,3,0,0,0,3,0,102,check,0.75,0,0,0,4,KH AC 2C 5S,1,2,14,2,1,14,14,2,2,14,0,6,0,0,0,1,3,3,6,0,1016,0,0.4692709445953369,True,0,8,20180810123113157,Late,1,14,1,3,14,2,14,3H 3D,michael6,marginal,0,160,7860,4421.5,983,none,call,SB,B,688,2064,0.3382352941176471,0.37034930347430356,0.46527329469283446,0.47375480801424413,0.02573529411764708,none,0.3125,"[0, 1, 0, 0]",Turn,20,0,0,80,7860.0,,,,,77,0.0,-0.28644455618965803
5,0,0,0,0,3,0,0,0,3,0,196,check,0.75,0,0,0,4,KH AC 2C 5S 2H,1,2,14,2,2,2,14,2,2,14,0,6,0,0,0,1,3,3,6,0,1016,0,0.7011702060699463,True,0,8,20180810123113157,Late,1,14,2,3,2,3,13,3H 3D,michael6,good,0,160,7860,4421.5,983,none,call,SB,B,688,2064,0.24489795918367346,0.36774031034325155,0.43002668378990766,0.37636088092786024,-0.09333733493397361,none,0.3382352941176471,"[0, 1, 0, 0]",River,20,0,0,80,7860.0,,,,,77,0.0,-0.30570875413027593
5,2,1,1,0,5,0,1,1,4,0,60000.0,bet,0.75,320,0,400,4,,,,,,,,,,,,1,7,0,0,0,0,14,3,17,0,1016,160,0.36944007873535156,False,0,8,20180810123113157,Late,1,14,0,14,3,1,14,AD 3H,michael6,,160,160,9319,6662.0,2967,any_called,steal,D,L,0,0,0.2257612433861605,0.49419831922593743,0.41808265255915045,0.3235925840850017,0,none,,"[0, 0, 1, 320.0]",Deal,21,0,0,80,9479.0,"('fold', 0)","('fold', 0)","('fold', 0)","('fold', 0)",77,,-0.234
5,1,0,2,1,4,0,0,2,2,1,363,fold,0.75,0,0,321,4,6C 3D TD,0,0,0,1,1,10,10,3,2,10,1,7,0,0,0,0,14,3,17,0,696,321,0.48299598693847656,False,0,8,20180810123113157,Late,0,0,1,3,14,3,14,AD 3H,michael6,marginal,321,321,7219,7219.0,7219,any_raised,fold,D,L,320,1280,0.453168044077135,0.48579523941830444,0.4957223539461978,0.5895657746564729,0.22740680069097452,none,0.2257612433861605,"[1, 0, 0, 0]",Flop,21,0,0,80,7540.0,,,,,77,0.16701352757544224,-0.274
5,1,0,1,0,5,0,0,1,4,0,60000.0,fold,0.75,0,0,240,4,,,,,,,,,,,,0,9,0,0,0,0,12,4,16,1,696,160,0.3485219478607178,False,0,8,20180810123113157,Late,1,12,0,12,4,2,12,4C QC,michael6,,160,160,8740,4635.0,2438,all_folded,limp,2,E,0,0,0.22470066137559347,0.15355881484167447,0.41738504303935514,0.3232035315328813,0,none,,"[1, 0, 0, 0]",Deal,22,0,0,80,8820.0,"('fold', 0)","('fold', 0)","('fold', 0)","('fold', 0)",77,,-0.23600000000000002
5,1,0,0,0,5,0,0,0,5,0,60000.0,fold,0.75,0,0,240,4,,,,,,,,,,,,0,9,0,0,0,0,4,3,7,1,696,160,0.3680100440979004,False,0,8,20180810123113157,Late,1,4,0,4,3,2,4,3H 4H,michael6,,160,160,8999,5766.0,2358,none,limp,1,E,0,0,0.1814578042327776,2.854967643700038e-05,0.38539702842107715,0.273182296996994,0,none,,"[1, 0, 0, 0]",Deal,23,0,0,80,9159.0,"('fold', 0)","('fold', 0)","('fold', 0)","('fold', 0)",77,,-0.23800000000000002
5,2,1,2,1,5,0,1,2,3,1,60000.0,fold,0.75,0,160,1552,4,,,,,,,,,,,,0,9,0,0,0,0,10,7,17,0,536,536,0.5200400352478027,False,160,8,20180810123113157,Late,1,10,0,10,7,1,10,TS 7H,michael6,,2646,2486,6753,6463.5,6174,any_raised,limp,BB,B,0,0,0.2010589947089436,0.06347999951628089,0.4007920599956698,0.2972490891079044,0,none,,"[1, 0, 0, 0]",Deal,24,0,0,80,9399.0,"('fold', 0)","('fold', 0)","('fold', 0)","('fold', 0)",77,,-0.24000000000000002
5,3,2,1,0,5,0,2,1,4,0,60000.0,fold,0.75,0,160,1120,5,,,,,,,,,,,,0,9,0,0,0,0,4,3,7,0,376,160,0.6764347553253174,False,160,8,20180810123113157,Late,1,4,0,4,3,1,4,3D 4S,michael6,,320,160,11466,6715.333333333333,2407,any_called,limp,SB,B,0,0,0.14121005291005528,0.0,0.3482380993906248,0.22548367296258648,0,none,,"[1, 0, 0, 0]",Deal,25,0,0,160,11786.0,"('fold', 0)","('allin', 376)","('fold', 0)","('fold', 0)",77,,-0.24200000000000002
5,2,1,1,0,5,0,1,1,4,0,60000.0,fold,0.75,0,0,800,5,,,,,,,,,,,,0,9,0,0,0,0,9,3,12,0,376,320,0.3912980556488037,False,0,8,20180810123113157,Late,1,9,0,9,3,1,9,9S 3C,michael6,,320,320,10457,6822.0,2247,any_called,limp,D,L,0,0,0.1413250000000005,0.0007019768620966242,0.34835649035865596,0.22632398364751255,0,none,,"[1, 0, 0, 0]",Deal,26,0,0,160,10777.0,"('fold', 0)","('allin', 376)","('fold', 0)","('fold', 0)",77,,-0.24400000000000002
5,1,0,1,0,5,0,0,1,4,0,60000.0,bet,0.75,376,0,480,5,,,,,,,,,,,,0,1,0,0,1,1,13,13,26,0,376,320,0.3440060615539551,False,0,8,20180810123113157,Late,1,13,1,13,0,1,13,KD KS,michael6,,320,320,9908,4677.666666666667,2038,all_folded,stt_middle,2,E,0,0,0.5015292328038736,0.9806083145757003,0.4999976614415627,0.6245286575184981,0,none,,"[0, 0, 1, 376]",Deal,27,0,0,160,10068.0,"('raise', 376)","('allin', 376)","('raise', 376)","('fold', 0)",77,,-0.24600000000000002
