tableNumber,game_id,round_id,smallBlind,playerName,isHuman,isOnline,isSurvive,chips,reloadCount,folded,allIn,position,cards,board,rank,message,winMoney
150,20180810125958249,15,40,1c7e0ca445fee61ec9caabb5003b044b,False,True,True,3220,0,False,False,D,QH 2D,JH JC 3H QS 5S,76.0004,Two Pair,600.0
150,20180810125958249,15,40,4e0879c5e51ac597357450b296c5bc3b,False,True,True,3240,0,True,False,SB,4H 7D,JH JC 3H QS 5S,18.0532,Pair,0.0
150,20180810125958249,15,40,71b3f31e76d1a5888a5652aba6474197,False,True,True,3370,0,True,False,BB,4S 2C,JH JC 3H QS 5S,18.0518,Pair,0.0
150,20180810125958249,15,40,ea8bb19d0db6e3db8ef698b71fa02c00,False,True,True,5350,0,True,False,1,KH 6H,JH JC 3H QS 5S,18.1544,Pair,0.0
150,20180810125958249,16,40,8c55ef579f68a40624f9c00488044e9c,False,True,False,0,0,False,False,,,JD 9S QD 2D 7C,,,0.0
150,20180810125958249,16,40,e55c711e6dbac6abb296dd1379310b58,False,True,True,2820,0,True,False,1,8D 4H,JD 9S QD 2D 7C,6.0368,High Card,0.0
150,20180810125958249,16,40,1c7e0ca445fee61ec9caabb5003b044b,False,True,True,3140,0,True,False,2,2H 3H,JD 9S QD 2D 7C,9.0832,Pair,0.0
150,20180810125958249,16,40,4e0879c5e51ac597357450b296c5bc3b,False,True,True,3160,0,True,False,D,JH 5S,JD 9S QD 2D 7C,18.0592,Pair,0.0
150,20180810125958249,16,40,71b3f31e76d1a5888a5652aba6474197,False,True,True,3210,0,True,False,SB,TH 4C,JD 9S QD 2D 7C,6.0464,High Card,0.0
150,20180810125958249,16,40,ea8bb19d0db6e3db8ef698b71fa02c00,False,True,True,5670,0,False,False,BB,9H QC,JD 9S QD 2D 7C,74.0256,Two Pair,1838.0
150,20180810125958249,17,40,8c55ef579f68a40624f9c00488044e9c,False,True,False,0,0,False,False,,,QD 4D QS TS AH,,,0.0
150,20180810125958249,17,40,e55c711e6dbac6abb296dd1379310b58,False,True,True,2469,0,True,False,BB,KD 7D,QD 4D QS TS AH,19.32,Pair,0.0
150,20180810125958249,17,40,1c7e0ca445fee61ec9caabb5003b044b,False,True,True,2709,0,True,False,1,5C 3S,QD 4D QS TS AH,19.218,Pair,0.0
150,20180810125958249,17,40,4e0879c5e51ac597357450b296c5bc3b,False,True,True,2729,0,True,False,2,8C 4C,QD 4D QS TS AH,69.2048,Two Pair,0.0
150,20180810125958249,17,40,71b3f31e76d1a5888a5652aba6474197,False,True,True,4463,0,False,False,D,QC 7H,QD 4D QS TS AH,110.2176,Three of a Kind,2354.0
150,20180810125958249,17,40,ea8bb19d0db6e3db8ef698b71fa02c00,False,True,True,5630,0,True,False,SB,6D 8H,QD 4D QS TS AH,19.2208,Pair,0.0
150,20180810125958249,18,80,8c55ef579f68a40624f9c00488044e9c,False,True,False,0,0,False,False,,,KD 8D 2C 3D AC,,,0.0
150,20180810125958249,18,80,e55c711e6dbac6abb296dd1379310b58,False,True,True,2389,0,True,False,SB,JS JH,KD 8D 2C 3D AC,18.3104,Pair,0.0
150,20180810125958249,18,80,1c7e0ca445fee61ec9caabb5003b044b,False,True,True,2549,0,True,False,BB,KH 4C,KD 8D 2C 3D AC,20.2082,Pair,0.0
150,20180810125958249,18,80,4e0879c5e51ac597357450b296c5bc3b,False,True,True,2569,0,True,False,1,JC 6D,KD 8D 2C 3D AC,8.132,High Card,0.0
150,20180810125958249,18,80,71b3f31e76d1a5888a5652aba6474197,False,True,True,4463,0,True,False,2,4S 7D,KD 8D 2C 3D AC,8.1074,High Card,0.0
