hole,suit,rank,order,prob,Nsim,2,3,4,5,6,7,8,9,10
♠8 ♥7,0.0,0.0,1.0,0.00904977375565611,60000.0,0.4746740740740435,0.3238416666665824,0.2481476190475817,0.20041005291000577,0.16787275132274979,0.14484404761901912,0.12805787037036884,0.11546111111112299,0.09256194444444439
♠8 ♥8,0.0,1.0,0.0,0.004524886877828055,60000.0,0.6950444444445446,0.5030615740740005,0.3793509920634557,0.2980276455024742,0.2435597883597315,0.20637063492064425,0.18042824074072805,0.1618759259259449,0.14358388888888884
♠9 ♠2,1.0,0.0,0.0,0.0030165912518853697,60000.0,0.4503074074073835,0.2918583333332433,0.22090515873012592,0.18058187830684758,0.15454867724867805,0.13632083333330564,0.1227583333333345,0.11215555555556608,0.09282249999999989
♠9 ♠3,1.0,0.0,0.0,0.0030165912518853697,60000.0,0.45764814814812727,0.2980953703702817,0.22561746031742547,0.18388042328038767,0.15674523809523946,0.13775297619044805,0.12371620370370365,0.1128740740740846,0.0923577777777777
♠9 ♠4,1.0,0.0,0.0,0.0030165912518853697,60000.0,0.4623129629629417,0.3024180555554656,0.22950793650790066,0.18733240740737103,0.1598883597883611,0.14076785714283113,0.12675694444444455,0.11605185185186245,0.09450305555555537
♠9 ♠5,1.0,0.0,0.0,0.0030165912518853697,60000.0,0.4823499999999801,0.32348703703694337,0.24879761904757344,0.20454431216926452,0.175250132275129,0.15457539682537952,0.13926851851851807,0.12746666666667858,0.10508333333333303
♠9 ♠6,1.0,0.0,0.0,0.0030165912518853697,60000.0,0.49834999999998203,0.3426643518517632,0.26731031746026523,0.2215513227512651,0.19076679894179088,0.16883293650792572,0.1525250000000003,0.1399388888889023,0.1157213888888886
♠9 ♠7,1.0,0.0,0.0,0.0030165912518853697,60000.0,0.5137407407407243,0.36071157407397864,0.284360119047568,0.2366697089946404,0.20388320105819,0.18020257936507603,0.16247499999999893,0.14878148148149614,0.12461444444444408
♠9 ♠8,1.0,0.0,1.0,0.0030165912518853697,60000.0,0.5264907407407324,0.3776527777776842,0.301781150793612,0.25312142857135067,0.2189730158730014,0.193958134920641,0.17507499999999984,0.16042592592594246,0.1358580555555551
♠9 ♥2,0.0,0.0,0.0,0.00904977375565611,60000.0,0.41824629629627336,0.2524759259258429,0.1790329365079302,0.13780952380952696,0.1116354497354576,0.09374980158728753,0.08087824074074088,0.07122962962963611,0.052990555555555624
♠9 ♥3,0.0,0.0,0.0,0.00904977375565611,60000.0,0.423761111111082,0.25783333333324765,0.18347361111110164,0.1413250000000005,0.11447843915344784,0.09617519841268246,0.08307083333333302,0.07330740740741394,0.05374694444444453
♠9 ♥4,0.0,0.0,0.0,0.00904977375565611,60000.0,0.4317981481481166,0.26516851851843115,0.18991765873014582,0.1468678571428519,0.11928756613757587,0.10044246031744204,0.08695138888888869,0.07690740740741435,0.05567583333333353
♠9 ♥5,0.0,0.0,0.0,0.00904977375565611,60000.0,0.4498592592592352,0.28414398148139075,0.20751507936505525,0.1626771164020975,0.13342936507937722,0.11316805555553121,0.09849490740740643,0.08745185185186077,0.06423750000000017
♠9 ♥6,0.0,0.0,0.0,0.00904977375565611,60000.0,0.4682518518518209,0.30473657407398375,0.2265732142856807,0.1795342592592253,0.14821071428572058,0.12621150793647673,0.11016574074073936,0.09807962962964015,0.07498138888888897
♠9 ♥7,0.0,0.0,0.0,0.00904977375565611,60000.0,0.48620185185182957,0.32693148148138856,0.24831468253963787,0.19960436507931442,0.16646137566137384,0.14285892857139773,0.12552546296296085,0.11244814814816051,0.08800666666666666
♠9 ♥8,0.0,0.0,1.0,0.00904977375565611,60000.0,0.5008092592592396,0.34503796296286826,0.2662103174602629,0.2159392857142231,0.18089814814814326,0.1554795634920427,0.13655555555555293,0.1221462962963107,0.09725388888888888
♠9 ♥9,0.0,1.0,0.0,0.004524886877828055,60000.0,0.7239666666668161,0.5400115740739939,0.41543511904762187,0.32985370370347605,0.27027275132268197,0.22823571428574613,0.1981518518518365,0.17628148148150455,0.15505777777777782
